Tasks, Cycles, Workers, Time
100, 100, 45, 25764270
100, 100, 46, 25035455
100, 100, 47, 25508663
100, 100, 48, 24569098
100, 100, 49, 25358718
100, 100, 50, 24844190
100, 100, 51, 25811186
100, 100, 52, 25160121
100, 100, 53, 24967298
100, 100, 54, 24550980
100, 100, 55, 26290460
100, 100, 56, 25442567
100, 100, 57, 26082239
100, 100, 58, 25847280
100, 100, 59, 26013250
100, 100, 60, 27863970
100, 100, 61, 26413573
100, 100, 62, 26880432
100, 100, 63, 26277425
100, 100, 64, 25727654
100, 100, 65, 27510682
100, 100, 66, 25908626
100, 100, 67, 26933864
100, 100, 68, 27070804
100, 100, 69, 30695614
100, 100, 70, 26751864
100, 100, 71, 27275077
100, 100, 72, 27221231
100, 100, 73, 25920453
100, 100, 74, 27527363
100, 100, 75, 27457138
100, 100, 76, 26633013
100, 100, 77, 26830387
100, 100, 78, 32423803
100, 100, 79, 26994985
100, 100, 80, 31103310
100, 100, 81, 26898619
100, 100, 82, 34085547
100, 100, 83, 27946954
100, 100, 84, 31170945
100, 100, 85, 27547050
100, 100, 86, 31340651
100, 100, 87, 33524271
100, 100, 88, 27614968
100, 100, 89, 33024364
100, 100, 90, 30311654
100, 100, 91, 27139517
100, 100, 92, 27313278
100, 100, 93, 27194232
100, 100, 94, 27429819
100, 100, 95, 31115218
100, 100, 96, 27827306
100, 100, 97, 31177234
100, 100, 98, 32815558
100, 100, 99, 30942887
100, 100, 100, 30614251
100, 100, 101, 31528676
100, 100, 102, 25772212
100, 100, 103, 25789926
100, 100, 104, 32282846
100, 100, 105, 30608863
100, 100, 106, 25577935
100, 100, 107, 33288238
100, 100, 108, 33373767
100, 100, 109, 27335486
100, 100, 110, 29029149
100, 100, 111, 33483550
100, 100, 112, 32268833
100, 1000, 1, 68734744
100, 1000, 2, 34615286
100, 1000, 3, 32574159
100, 1000, 4, 22465983
100, 1000, 5, 23358478
100, 1000, 6, 19003012
100, 1000, 7, 20420519
100, 1000, 8, 19064939
100, 1000, 9, 17466433
100, 1000, 10, 16913562
100, 1000, 11, 18763286
100, 1000, 12, 15165594
100, 1000, 13, 15308814
100, 1000, 14, 15919930
100, 1000, 15, 14720728
100, 1000, 16, 18023197
100, 1000, 17, 14477239
100, 1000, 18, 17192175
100, 1000, 19, 19211623
100, 1000, 20, 18187736
100, 1000, 21, 21050999
100, 1000, 22, 21872227
100, 1000, 23, 20664249
100, 1000, 24, 21608776
100, 1000, 25, 20163404
100, 1000, 26, 20932547
100, 1000, 27, 21137306
100, 1000, 28, 22167427
100, 1000, 29, 24015520
100, 1000, 30, 22033075
100, 1000, 31, 22459523
100, 1000, 32, 24006891
100, 1000, 33, 23164710
100, 1000, 34, 22740272
100, 1000, 35, 24637962
100, 1000, 36, 23970274
100, 1000, 37, 24529881
100, 1000, 38, 25103349
100, 1000, 39, 24655854
100, 1000, 40, 24745930
100, 1000, 41, 24587207
100, 1000, 42, 25388877
100, 1000, 43, 24796135
100, 1000, 44, 25024155
100, 1000, 45, 24502855
100, 1000, 46, 25082697
100, 1000, 47, 26260818
100, 1000, 48, 24784678
100, 1000, 49, 26176312
100, 1000, 50, 26355073
100, 1000, 51, 24384637
100, 1000, 52, 30792143
100, 1000, 53, 25190030
100, 1000, 54, 27363840
100, 1000, 55, 30216297
100, 1000, 56, 26208958
100, 1000, 57, 25451835
100, 1000, 58, 27101841
100, 1000, 59, 25637666
100, 1000, 60, 26003321
100, 1000, 61, 31410964
100, 1000, 62, 31113344
100, 1000, 63, 31164116
100, 1000, 64, 26111366
100, 1000, 65, 26770519
100, 1000, 66, 26461226
100, 1000, 67, 30804982
100, 1000, 68, 31075501
100, 1000, 69, 30279852
100, 1000, 70, 27291770
100, 1000, 71, 32406173
100, 1000, 72, 26175146
100, 1000, 73, 32329843
100, 1000, 74, 32153074
100, 1000, 75, 31544445
100, 1000, 76, 27848716
100, 1000, 77, 26321171
100, 1000, 78, 32866550
100, 1000, 79, 27273851
100, 1000, 80, 32305297
100, 1000, 81, 26299576
100, 1000, 82, 33232324
100, 1000, 83, 26232926
100, 1000, 84, 27113572
100, 1000, 85, 32980567
100, 1000, 86, 32814484
100, 1000, 87, 32459674
100, 1000, 88, 32179491
100, 1000, 89, 31789262
100, 1000, 90, 32920408
100, 1000, 91, 32542410
100, 1000, 92, 31824496
100, 1000, 93, 28790156
100, 1000, 94, 28977523
100, 1000, 95, 26938603
100, 1000, 96, 27334963
100, 1000, 97, 26966039
100, 1000, 98, 32493970
100, 1000, 99, 31988041
100, 1000, 100, 27835072
100, 1000, 101, 31291545
100, 1000, 102, 30681302
100, 1000, 103, 30654408
100, 1000, 104, 26770403
100, 1000, 105, 32513750
100, 1000, 106, 31182503
100, 1000, 107, 26050778
100, 1000, 108, 28488110
100, 1000, 109, 32544600
100, 1000, 110, 31186596
100, 1000, 111, 31633194
100, 1000, 112, 27810374
100, 10000, 1, 515755024
100, 10000, 2, 269799695
100, 10000, 3, 177636079
100, 10000, 4, 142612880
100, 10000, 5, 113821761
100, 10000, 6, 102796372
100, 10000, 7, 89524544
100, 10000, 8, 80566780
100, 10000, 9, 72144430
100, 10000, 10, 57270543
100, 10000, 11, 64656566
100, 10000, 12, 57351632
100, 10000, 13, 55451823
100, 10000, 14, 51268283
100, 10000, 15, 46992056
100, 10000, 16, 44593183
100, 10000, 17, 40728126
100, 10000, 18, 37421565
100, 10000, 19, 37092008
100, 10000, 20, 35049761
100, 10000, 21, 35671758
100, 10000, 22, 34079748
100, 10000, 23, 34315935
100, 10000, 24, 29561823
100, 10000, 25, 29678012
100, 10000, 26, 27521475
100, 10000, 27, 28305409
100, 10000, 28, 25743363
100, 10000, 29, 25264242
100, 10000, 30, 26178157
100, 10000, 31, 26873179
100, 10000, 32, 23948705
100, 10000, 33, 24986053
100, 10000, 34, 24007772
100, 10000, 35, 22680720
100, 10000, 36, 22488149
100, 10000, 37, 22768173
